9950 9949
261681 -373.124 MIN
209803 -0.744963 SAD
207688 -0.744817 SAD
216109 -0.732418 SAD
235221 -0.725785 SAD
205512 -0.714629 MAX
220470 -0.708835 SAD
209807 -0.697342 SAD
197393 -0.696458 SAD
239408 -0.696266 SAD
203502 -0.695908 SAD
207586 -0.695655 SAD
203604 -0.695129 SAD
222481 -0.694396 SAD
203508 -0.694032 SAD
266450 -0.693821 SAD
232807 -0.69361 SAD
222712 -0.693223 SAD
207684 -0.692931 SAD
191088 -0.692677 SAD
210005 -0.690826 SAD
245713 -0.690116 SAD
229017 -0.68778 SAD
157540 -0.687555 SAD
171887 -0.687211 SAD
216310 -0.687151 SAD
235126 -0.686736 SAD
222232 -0.686472 SAD
201652 -0.685806 SAD
197011 -0.685337 SAD
194964 -0.68449 SAD
188946 -0.684371 SAD
214167 -0.684264 SAD
197296 -0.683733 SAD
197394 -0.683125 MAX
222615 -0.682664 SAD
228537 -0.68163 SAD
235322 -0.681592 SAD
228804 -0.681555 SAD
228786 -0.680851 SAD
188659 -0.680288 SAD
264334 -0.680215 SAD
178191 -0.679906 SAD
239505 -0.679825 SAD
182641 -0.679662 SAD
209812 -0.679616 SAD
203411 -0.67958 SAD
191089 -0.679451 MAX
220185 -0.678943 SAD
213880 -0.677989 SAD
213988 -0.677684 SAD
228920 -0.677409 SAD
207781 -0.676773 SAD
190705 -0.676068 SAD
234842 -0.675768 SAD
266353 -0.675642 SAD
228724 -0.675465 SAD
182354 -0.675396 SAD
245405 -0.675077 SAD
207479 -0.674958 SAD
203315 -0.67477 SAD
220293 -0.674634 SAD
182450 -0.674407 SAD
245810 -0.674406 SAD
272691 -0.672175 SAD
197297 -0.671893 MAX
222518 -0.671814 SAD
197199 -0.670932 SAD
176049 -0.669869 SAD
241147 -0.668978 SAD
241494 -0.667708 SAD
165966 -0.667362 SAD
176241 -0.666876 SAD
228823 -0.66675 SAD
188756 -0.666509 SAD
220282 -0.665085 SAD
188852 -0.664933 SAD
216116 -0.664897 SAD
235188 -0.66471 SAD
278995 -0.664496 SAD
182738 -0.66443 SAD
213977 -0.664224 SAD
169744 -0.663764 SAD
176337 -0.663728 SAD
239101 -0.662806 SAD
214085 -0.662771 SAD
253758 -0.662283 SAD
157133 -0.661527 SAD
247452 -0.661373 SAD
235091 -0.660963 SAD
222421 -0.660735 SAD
239005 -0.660525 SAD
197200 -0.660467 MAX
234994 -0.660384 SAD
203373 -0.66024 SAD
220390 -0.660031 SAD
159661 -0.659967 SAD
176433 -0.659656 SAD
190703 -0.65845 SAD
125523 -0.65813 SAD
260376 -0.657914 SAD
209677 -0.657741 SAD
165646 -0.657594 SAD
165869 -0.657329 SAD
228529 -0.657273 SAD
234897 -0.657193 SAD
163439 -0.657146 SAD
176146 -0.656942 SAD
241462 -0.656628 SAD
163535 -0.656422 SAD
228726 -0.655865 SAD
234834 -0.655727 SAD
190620 -0.655252 SAD
247356 -0.655052 SAD
190797 -0.654897 SAD
216018 -0.654364 SAD
209618 -0.653894 SAD
142951 -0.653603 SAD
216019 -0.653481 SAD
266180 -0.653121 SAD
175960 -0.652932 SAD
222038 -0.652742 SAD
247278 -0.652308 SAD
153356 -0.652033 SAD
278897 -0.651604 SAD
