217 216
5445 0 MIN
510605 0.344723 SAD
80525 0.346513 SAD
55756 0.350329 MAX
534988 0.35042 MAX
287698 0.501096 SAD
128531 0.58882 SAD
140819 0.589221 MAX
177873 0.601089 SAD
399057 0.601127 SAD
288082 0.660516 SAD
288083 0.668586 MAX
288274 0.686934 MAX
5842 0.785757 MAX
571090 0.786923 MAX
287101 0.853365 SAD
560700 0.871473 SAD
287328 0.873629 SAD
287904 0.88623 MAX
436525 0.974698 SAD
178187 0.993677 SAD
411659 0.993677 SAD
67595 0.993679 SAD
522251 0.993679 SAD
239627 0.99368 SAD
350219 0.99368 SAD
116747 0.993683 SAD
288780 0.993683 SAD
473099 0.993683 SAD
559116 0.993706 MAX
30731 0.993707 MAX
387084 0.993707 MAX
202764 0.993708 MAX
153611 0.993714 MAX
436235 0.993714 MAX
264203 0.993719 MAX
325643 0.993719 MAX
92171 0.993723 MAX
497675 0.993723 MAX
6272 1.01282 SAD
288531 1.03031 SAD
5951 1.04634 SAD
5759 1.04655 MAX
279860 1.05112 SAD
292148 1.05161 MAX
43003 1.06442 SAD
534524 1.06472 SAD
341108 1.06534 SAD
353396 1.06565 MAX
571580 1.06643 MAX
6139 1.06655 MAX
377588 1.07527 SAD
263422 1.07723 SAD
377780 1.07781 MAX
263231 1.07858 SAD
324671 1.07885 SAD
300095 1.08003 MAX
201791 1.08078 SAD
189503 1.08093 MAX
238655 1.08238 MAX
349247 1.08266 MAX
291957 1.08404 SAD
316533 1.08427 MAX
340917 1.09369 SAD
353205 1.09538 MAX
251699 1.10038 SAD
389493 1.10285 SAD
386862 1.10541 SAD
202542 1.10549 SAD
362096 1.10738 SAD
362289 1.10746 MAX
389685 1.10772 MAX
374384 1.10894 MAX
214640 1.10917 MAX
401589 1.10918 SAD
559277 1.10992 SAD
30893 1.10997 SAD
571565 1.11008 MAX
6317 1.11016 MAX
325004 1.11041 SAD
401781 1.11125 MAX
251276 1.11221 SAD
328439 1.11821 SAD
338080 1.11948 SAD
364148 1.11981 SAD
351861 1.12155 SAD
364918 1.1216 SAD
266999 1.12165 SAD
252065 1.12171 SAD
352822 1.1219 SAD
254710 1.12212 MAX
340726 1.12232 MAX
352053 1.12234 MAX
364340 1.12301 MAX
350558 1.12346 SAD
363957 1.1235 SAD
227678 1.12384 SAD
239967 1.12409 MAX
364149 1.12429 MAX
387229 1.12455 SAD
376244 1.1246 SAD
374942 1.1249 SAD
365110 1.12519 MAX
362846 1.12553 MAX
387230 1.12553 MAX
190429 1.12604 SAD
401590 1.12617 SAD
350559 1.12629 MAX
377206 1.12639 MAX
389302 1.12652 MAX
202910 1.12658 MAX
388340 1.12668 SAD
191732 1.1276 SAD
376436 1.1278 MAX
388532 1.12795 MAX
204212 1.12816 MAX
4119 1.12861 SAD
288335 1.13427 MAX
389111 1.13695 SAD
376823 1.13768 MAX
352439 1.13797 SAD
364152 1.13857 SAD
216888 1.13974 SAD
364727 1.14095 MAX
328055 1.14232 SAD
253752 1.14264 SAD
254327 1.14294 SAD
340343 1.14334 MAX
242039 1.14383 MAX
291383 1.14396 SAD
315959 1.14476 MAX
279095 1.14497 MAX
290617 1.15034 MAX
289126 1.15289 SAD
288571 1.15998 MAX
291000 1.15998 MAX
288932 1.16466 MAX
570779 1.16838 SAD
569359 1.16925 SAD
5531 1.16926 SAD
4111 1.1693 SAD
569360 1.16963 MAX
570780 1.16976 MAX
4112 1.16981 MAX
5532 1.17035 MAX
289321 1.17264 MAX
570971 1.17481 MAX
5723 1.17539 MAX
275205 1.20441 SAD
287113 1.21542 SAD
287114 1.21846 MAX
287303 1.23816 SAD
275016 1.2421 SAD
262728 1.24211 MAX
287304 1.24236 MAX
31241 1.25252 SAD
43529 1.25252 MAX
559625 1.25256 SAD
547337 1.25269 MAX
571913 1.25407 MAX
6665 1.2556 MAX
17349 1.25757 SAD
5061 1.25816 MAX
287494 1.27359 MAX
388310 1.28547 SAD
203990 1.28591 SAD
510645 1.28648 SAD
228566 1.28698 MAX
363734 1.287 MAX
80566 1.28721 SAD
522933 1.28988 MAX
55989 1.28996 MAX
522742 1.29501 MAX
68086 1.29517 MAX
573003 1.29556 SAD
437653 1.29595 SAD
155029 1.29687 SAD
130261 1.29832 MAX
462037 1.2984 MAX
287685 1.29961 MAX
385441 1.30104 SAD
397729 1.30474 MAX
348193 1.30909 SAD
372961 1.31035 MAX
225506 1.31144 SAD
213217 1.31156 MAX
299041 1.31308 SAD
274466 1.31435 SAD
290387 1.31476 SAD
265811 1.31478 SAD
327251 1.31482 SAD
278099 1.31485 MAX
314963 1.31487 MAX
351827 1.31497 SAD
339539 1.31506 MAX
286754 1.31667 MAX
249889 1.31726 SAD
237794 1.31782 MAX
262177 1.31915 MAX
323617 1.31983 MAX
7559 1.32028 SAD
572807 1.3203 SAD
572808 1.33046 MAX
7560 1.33055 MAX
7762 1.33671 SAD
573010 1.33673 SAD
277509 1.33878 SAD
314373 1.33896 SAD
302085 1.33922 MAX
7761 1.34336 MAX
573009 1.34343 MAX
7571 1.3444 MAX
572819 1.34445 MAX
19461 1.36148 SAD
31749 1.3626 MAX
560133 1.36272 MAX
7173 1.36283 MAX
569359 4111
4111 4112
436525 4119
17349 5061
190429 5531
5531 5532
5531 5723
5951 5759
177873 5842
288531 5951
43003 6139
436525 6272
30893 6317
31241 6665
19461 7173
573003 7559
7559 7560
7762 7571
7762 7761
265811 7762
275205 17349
277509 19461
67595 30731
559277 30893
251276 31241
19461 31749
5951 43003
31241 43529
80525 55756
80566 55989
178187 67595
80566 68086
510605 80525
216888 80566
116747 92171
67595 116747
287698 128531
155029 130261
128531 140819
116747 153611
437653 155029
128531 177873
560700 178187
201791 189503
227678 190429
388340 191732
263231 201791
386862 202542
239627 202764
190429 202910
388310 203990
191732 204212
225506 213217
202542 214640
364152 216888
348193 225506
252065 227678
203990 228566
249889 237794
201791 238655
411659 239627
227678 239967
254327 242039
274466 249889
325004 251276
263422 251699
338080 252065
328055 253752
253752 254327
266999 254710
249889 262177
275016 262728
263422 263231
534524 263422
288780 264203
290387 265811
364918 266999
299041 274466
287303 275016
4111 275205
572807 277509
265811 278099
291383 279095
6272 279860
274466 286754
287698 287101
275205 287113
287113 287114
287113 287303
275016 287304
287101 287328
287303 287494
17349 287685
80525 287698
287328 287904
399057 288082
288082 288083
288082 288274
251276 288335
6272 288531
251699 288571
350219 288780
289126 288932
252065 289126
289126 289321
155029 290387
253752 290617
254327 291000
254327 291383
377588 291957
279860 292148
225506 299041
324671 300095
314373 302085
277509 314373
327251 314963
291383 315959
291957 316533
299041 323617
263231 324671
288531 325004
288780 325643
290387 327251
216888 328055
401589 328439
30893 338080
351827 339539
328055 340343
328439 340726
291957 340917
279860 341108
385441 348193
324671 349247
239627 350219
338080 350558
350558 350559
327251 351827
364148 351861
351861 352053
389111 352439
266999 352822
340917 353205
341108 353396
386862 362096
362096 362289
374942 362846
388310 363734
352822 363957
328439 364148
363957 364149
352439 364152
364148 364340
352439 364727
351861 364918
352822 365110
348193 372961
362096 374384
387229 374942
363957 376244
376244 376436
389111 376823
364918 377206
341108 377588
